term	content
가계부실위험지수(HDRI)	가구의 소득 흐름은 물론 금융 및 실물 자산까지 종합적으로 고려하여 가계부채의 부실위험을 평가하는 지표로, 가계의 채무상환능력을 소득 측면에서 평가하는 원리금상 환비율(DSR; Debt Service Ratio)과 자산 측면에서 평가하는 부채/자산비율(DTA; Debt To Asset Ratio)을 결합하여 산출한 지수이다.
가계수지	가정에서 일정 기간의 수입(명목소득)과 지출을 비교해서 남았는지 모자랐는지를 표시한 것을 가계수지(household's total income and expenditure)라 한다.
가계순저축률	일반적으로 저축률은 저축액을 처분가능소득으로 나눈 비율을 말한다.
가계신용통계	가계신용통계는 가계부문에 대한 신용공급 규모를 나타내는 통계이다.
가계처분가능소득	가계처분가능소득(PDI; Personal Disposable Income)은 가계가 맘대로 소비와 저축 으로 처분할 수 있는 소득을 의미한다.
가교은행	청산 대상 금융기관의 자산, 부채를 임시로 넘겨받아 예금, 출금 등의 업무를 대행하고 합병, 채권채무관계 조정 등 후속조치를 수행하는 은행을 말한다.
가동률	생산능력 대비 생산실적의 백분율(생산실적/생산능력×100)로, 생산설비가 어느 정도 이용되는지를 나타내는 경제지표이다.
가변예치의무제도	국경 간 자본유출입은 기업의 자금조달 비용을 낮추어 투자를 활성화하는 긍정적인 측면도 있지만, 단기간에 대규모로 이루어질 경우 환율 또는 증권가격의 급등락을 불러와 경제 안정을 해칠 수도 있다.
가산금리	기준금리에 신용도 등의 차이에 따라 달리 덧붙이는 금리를 가산금리(또는 스프레드, spread)라고 한다.
가상통화	가상통화(virtual currency)는 중앙은행이나 금융기관이 아닌 민간에서 블록체인을 기반 기술로 하여 발행 유통되는 ‘가치의 전자적 표시’(digital representation of value)로서 비트 코인이 가장 대표적인 가상통화이다.
가상통화공개(ICO)	가상통화(ICO; Initial Coin Offering) 공개는 주로 혁신적인 신생기업(startup)이 암호 화화폐(cryptocurrency) 또는 디지털 토큰(digital token, 일종의 투자증명)을 이용하여 자금을 조달할 수 있는 크라우드펀딩(crowd funding)의 한 방식이다.
